역이름,위도,경도
Porte de Vanves,48.827396,2.307701
École Militaire,48.85240049999999,2.3036513
Concorde,48.8706008,2.3228519
Faidherbe – Chaligny,48.8498005,2.3853325
Saint-Germain-des-Prés,48.8537981,2.3333285
Mairie des Lilas,48.8793577,2.4157987
Balard,48.8392565,2.2806102
Père Lachaise,48.8649156,2.3984761
Villiers,48.8839841,2.303989
Laumière,48.88446649999999,2.380009
Église de Pantin,48.8928863,2.4132802
Mabillon,48.8533377,2.3358151
La Motte-Picquet – Grenelle,48.8487494,2.2989572
Convention,48.8401754,2.2899544
Iéna,48.8643493,2.2934393
Saint-Lazare,48.877243,2.3253114
Château d'Eau,48.8724895,2.355908
Mairie de Saint-Ouen,48.9116671,2.3344492
Mirabeau,48.8470017,2.272568
Gabriel Péri,48.9162635,2.2949275
Mouton-Duvernet,48.831044,2.329656
Opéra,48.8719697,2.3316014
Maisons-Alfort – Stade,48.8091527,2.4344978
Rennes,48.8575475,2.3513765
La Fourche,48.8876564,2.3254883
Porte de Champerret,48.8857617,2.2921837
Gare du Nord,48.88051,2.35503
Châtelet,48.8575734,2.3470298
Parmentier,48.8648998,2.3748658
Porte des Lilas,48.8766673,2.4069024
Bonne Nouvelle,48.8674501,2.3496033
Saint-Mandé,48.84283199999999,2.4178639
Madeleine,48.87058709999999,2.3189432
Michel-Ange – Molitor,48.845124,2.2616761
Saint-Paul,48.8534683,2.3616912
Péreire,48.8845342,2.2967441
Liège,48.880196,2.3279665
Bourse,,
Boulogne – Jean Jaurès,48.8420292,2.2387702
Cluny – La Sorbonne,48.8434912,2.3518339
Nation,48.848713,2.3970382
Château de Vincennes,48.8443653,2.4364781
Exelmans,48.8424098,2.2618305
Avenue Émile Zola,48.8465793,2.2866627
Alexandre Dumas,48.8563342,2.3944206
Marx Dormoy,48.89050710000001,2.3600973
Pigalle,48.8821516,2.3372559
Marcadet – Poissonniers,48.891554,2.349594
Denfert-Rochereau,48.8342686,2.3323094
Trocadéro,48.8626979,2.2875026
Maubert – Mutualité,48.84979149999999,2.348733
Liberté,48.8730875,2.3615623
Gare de l'Est,48.8768146,2.3591978
Abbesses,48.8843091,2.3387397
Pointe du Lac,48.8575475,2.3513765
George V,48.8682365,2.301356
Rome,48.8575475,2.3513765
Saint-Georges,48.88036049999999,2.333799
Filles du Calvaire,48.8632905,2.3666653
Place d'Italie,48.83144919999999,2.3555149
Porte de Vincennes,48.847153,2.41018
Lourmel,48.8433872,2.2863331
Saint-Augustin,48.8762979,2.3188379
Montparnasse – Bienvenüe,48.84087,2.32003
Raspail,48.8346078,2.3324452
Boucicaut,48.8424155,2.2849585
Porte Maillot,48.878666,2.28358
Monceau,48.8804525,2.3091008
Grands Boulevards,48.8707814,2.3478302
Commerce,48.84461,2.29377
Porte Dauphine,48.871703,2.2757204
Avron,48.851307,2.398311
Hôtel de Ville,48.8565921,2.3522133
Pont de Sèvres,48.8284956,2.2270113
Ranelagh,48.855025,2.269624
Saint-Philippe du Roule,48.8732695,2.3107325
Jules Joffrin,48.8927876,2.3444896
Ourcq,48.886855,2.385749
Richelieu – Drouot,48.87200559999999,2.3393775
Saint-Sébastien – Froissart,48.8611339,2.3673656
Billancourt,48.8396952,2.2399123
Corentin Celton,48.827206,2.2783375
Rue des Boulets,48.850698,2.390382
Ledru-Rollin,48.8511317,2.3763292
Campo-Formio,48.8356243,2.3583955
Quatre Septembre,48.8695922,2.3358823
Europe,48.8766796,2.3189725
Alma – Marceau,48.8644455,2.300643
Place de Clichy,48.8835411,2.3268816
Solférino,48.8603207,2.3236246
Ternes,48.8799177,2.2930101
Assemblée Nationale,48.86190329999999,2.3186484
Garibaldi,48.8466543,2.3063603
Vaneau,48.8514045,2.3191824
Pont de Levallois – Bécon,48.8978536,2.2796561
Alésia,48.8279667,2.3263892
Volontaires,48.8415265,2.3082327
Porte de Saint-Ouen,48.898132,2.3268216
Victor Hugo,48.8548256,2.3661911
Colonel Fabien,48.8780109,2.3698692
Mairie d'Issy,48.8226174,2.2680243
