Column,Null Count
description,3503
neighborhood_overview,39247
host_name,7
host_since,7
host_location,16587
host_about,47743
host_response_time,36087
host_response_rate,36087
host_acceptance_rate,27876
host_is_superhost,91
host_thumbnail_url,7
host_picture_url,7
host_neighbourhood,49808
host_listings_count,7
host_total_listings_count,7
host_verifications,7
host_has_profile_pic,7
host_identity_verified,7
neighbourhood,39247
neighbourhood_group_cleansed,84397
bathrooms,23438
bathrooms_text,85
bedrooms,6917
beds,23569
price,23480
calendar_updated,84397
has_availability,4509
first_review,25575
last_review,25575
review_scores_rating,25570
review_scores_accuracy,25604
review_scores_cleanliness,25600
review_scores_checkin,25613
review_scores_communication,25602
review_scores_location,25610
review_scores_value,25615
license,19800
reviews_per_month,25575
