역이름,게스트 선호 숙소 수,비게스트 선호 숙소 수
11 Novembre 1918,0,0
18 juin 1940,0,0
8 Mai 1945,0,0
Abbeville,103,106
Abbé Carton,30,38
Abbé Groult,29,33
Aboukir,188,325
Adolphe Lalyre,0,0
Adolphe Pinard,4,3
Adrien Lesesne,1,0
Alexander Fleming,1,3
Alexandre Dumas,60,47
Alexandre Parodi,51,52
Alfred Roll,14,28
Alfred de Vigny,16,32
Alger,40,36
Alibert,109,89
Alouettes,0,0
Amaury Duval,0,0
Ambroise Rendu,18,27
Amelot,144,125
Amédée Huon,0,0
Anatole France,0,2
Ancien Canal,0,0
Ancienne Mairie,0,0
André Karman,0,0
André Maurois,18,6
André Mazet,91,116
André Theuriet,0,0
Aqueduc,35,45
Arago,33,23
Arche,0,0
Archives,192,192
Arcole,56,70
Argenson,0,0
Argenteuil,0,0
Aristide Briand,0,0
Arsonval,24,28
Arsène Houssaye,39,58
Arthur Auger,0,0
Arthur Ranc,26,14
Artois,37,69
Assas,33,27
Assemblée Nationale,7,4
Athènes,48,79
Aubervilliers,10,18
Auguste Blanqui,31,29
Auguste Cain,28,26
Avenir,0,0
Averroès,0,0
BNF,6,1
Bachaumont,161,188
Bagnolet,41,27
Balard,12,27
Balzac,39,21
Bara,0,0
Barbès,1,2
Bargue,24,22
Bas,0,0
Basilique,0,0
Bassano,34,36
Bastille,53,66
Bateliers,0,0
Batignolles,50,96
Bayen,50,45
Beaubourg,206,248
Beaujon,46,63
Beaumarchais,125,88
Beaux-Arts,54,67
Beffroy,0,0
Belfort,101,89
Belidor,45,19
Bellefond,123,117
Belles Feuilles,43,40
Belleville,62,39
Belliard,50,26
Benjamin Delessert,0,0
Benjamin Godard,23,23
Benoît Frachon,2,3
Bercy,10,22
Bercy.,2,2
Berri,33,61
Berthier,11,18
Bertie Albrecht,27,61
Bertrand Sincholle,0,1
Bessières,29,34
Bibliothèque Nationale,60,113
Bichat,97,76
Bienfaisance,29,29
Billancourt,0,0
Bineau,7,3
Bir Hakeim,52,52
Blaise-Desgoffe,37,41
Blancs-Manteaux,175,171
Blanqui,0,0
Bleue,109,120
Bobillot,46,26
