,랜드마크,위도,경도,게스트_선호,게스트_불호
0,런던 아이,51.5033,-0.1196,1,0
1,타워 브리지,51.5055,-0.0754,5,9
2,버킹엄 궁전,51.5014,-0.1419,4,10
3,대영 박물관,51.5194,-0.127,27,25
4,테이트 모던,51.5076,-0.0994,9,8
5,세인트 폴 대성당,51.5138,-0.0984,2,15
6,웨스트민스터 사원,51.4993,-0.1273,5,5
7,피카딜리 서커스,51.5101,-0.1342,31,75
8,하이드 파크,51.5073,-0.1657,0,0
9,캠든 마켓,51.5416,-0.1469,15,24
10,빅벤,51.5007,-0.1246,2,1
11,내셔널 갤러리,51.5089,-0.1283,35,61
12,자연사 박물관,51.4967,-0.1764,19,21
13,타워 오브 런던,51.5081,-0.0759,5,14
14,코벤트 가든,51.5115,-0.1234,53,45
15,리젠트 파크,51.5313,-0.1569,0,0
16,셔드,51.5045,-0.0865,8,23
17,킹스 크로스 세인트 판크라스,51.5308,-0.1238,10,71
