,역이름,위도,경도,게스트_선호,게스트_불호
0,Temple,51.5104742,-0.112643564,4,8
1,Blackfriars,51.51111447,-0.102020251,2,9
2,Mansion House,51.51130597,-0.092495313,3,11
3,Cannon Street,51.51096254,-0.088801035,2,17
4,Monument,51.51020898,-0.084502291,3,12
5,Tower Hill,51.50943419,-0.074913869,6,17
6,Aldgate,51.51398203,-0.0742363,22,36
7,Liverpool Street,51.5168424,-0.081601363,12,22
8,Moorgate,51.5178533,-0.087700241,5,3
9,Barbican,51.51969921,-0.097189673,10,12
10,Farringdon,51.51996102,-0.103582415,18,27
11,King's Cross St. Pancras,51.52927728,-0.123168404,10,74
12,Euston Square,51.52512499,-0.134270582,12,66
13,Great Portland Street,51.52333822,-0.142685711,14,66
14,Baker Street,51.52249387,-0.155454387,30,34
15,Edgware Road (Circle Line),51.51936413,-0.166170742,37,135
16,Paddington,51.51499491,-0.173789485,14,102
17,Bayswater,51.51181507,-0.186322701,27,118
18,High Street Kensington,51.49993492,-0.190607248,22,23
19,Gloucester Road,51.49397763,-0.182135121,42,46
20,South Kensington,51.49357736,-0.171564291,24,38
21,Victoria,51.49588954,-0.141485017,8,24
22,Pimlico,51.48856954,-0.132103672,15,20
23,Warren Street,51.52401887,-0.136735811,16,90
24,Queensway,51.50974305,-0.185538472,19,79
25,Hyde Park Corner,51.50224103,-0.152546395,8,3
26,Knightsbridge,51.50073061,-0.159863737,18,15
27,Leicester Square,51.51089472,-0.126725567,50,79
28,Covent Garden,51.51263471,-0.122759938,51,42
29,Russell Square,51.52255053,-0.122662273,18,41
30,Earl's Court,51.4914734,-0.19157701,41,75
31,Notting Hill Gate,51.5086469,-0.194491212,22,32
32,Lancaster Gate,51.51117805,-0.173843886,8,44
33,Marble Arch,51.51309055,-0.155755638,18,30
34,Bond Street,51.51387033,-0.148076884,31,29
35,Bank,51.51291511,-0.08729695,3,12
36,Oxford Circus,51.51481046,-0.140025246,52,44
37,Holborn,51.51706879,-0.1188087,15,41
38,Chancery Lane,51.5177395,-0.109960547,11,28
39,St. Paul's,51.51444286,-0.095907533,2,13
40,Paddington,51.51605291,-0.174388339,16,110
41,Embankment,51.50694137,-0.120562428,10,13
42,Westminster,51.50045311,-0.124052209,2,1
43,Euston,51.52757668,-0.132992071,13,62
44,Waterloo,51.50291418,-0.112818812,11,22
45,Green Park,51.50635747,-0.140937126,11,20
46,Paddington (H&C Line),51.51800497,-0.17719615,16,89
47,Piccadilly Circus,51.50955061,-0.132081484,30,71
48,Charing Cross,51.50686754,-0.125777173,20,14
49,Lambeth North,51.49833058,-0.110624882,8,35
50,Edgware Road (Bakerloo),51.51996099,-0.168645951,28,131
51,Marylebone,51.52165079,-0.162637346,48,66
52,Regent's Park,51.52277011,-0.144708117,15,47
53,Sloane Square,51.49182524,-0.15473274,16,7
54,St. James's Park,51.49905006,-0.132021543,8,7
55,Goodge Street,51.52009307,-0.132736642,19,56
56,Tottenham Court Road,51.51594793,-0.128897348,47,65
57,Borough,51.50067969,-0.091702818,18,28
58,Old Street,51.52457628,-0.086025441,22,37
59,Angel,51.5309796,-0.103116359,14,19
60,Aldgate East,51.51491653,-0.069540402,22,71
61,Southwark,51.50377646,-0.103788452,23,21
62,London Bridge,51.50455372,-0.088037808,13,19
63,East Putney,51.45863492,-0.209468663,8,2
64,Putney Bridge,51.46774182,-0.207131382,8,2
65,Parsons Green,51.47447238,-0.200166803,15,5
66,White City,51.51170695,-0.222866489,3,8
67,Shepherd's Bush,51.50384346,-0.217238899,16,29
68,Holland Park,51.50664438,-0.204062863,15,3
69,Brixton,51.46215131,-0.113288835,12,14
70,Vauxhall,51.48518446,-0.122646146,16,12
71,Highbury & Islington,51.54691824,-0.102125867,6,6
72,Caledonian Road,51.54801774,-0.116864262,12,7
73,Holloway Road,51.55225038,-0.111653531,12,5
74,Arsenal,51.55811105,-0.105674399,5,8
75,Manor House,51.57024769,-0.094452148,7,2
76,Shepherd's Bush Market,51.50558155,-0.224700725,15,26
77,Goldhawk Road,51.50148234,-0.225049873,13,22
78,Latimer Road,51.51295039,-0.216257476,7,9
79,Ladbroke Grove,51.51681261,-0.209304449,29,21
80,Royal Oak,51.51854003,-0.186186162,17,46
81,Westbourne Park,51.52041239,-0.199554267,25,28
82,Queen's Park,51.53347212,-0.204142926,10,25
83,Mile End,51.52472507,-0.032150165,8,22
84,Bethnal Green,51.52672839,-0.053074702,3,16
85,Kensington (Olympia),51.49722528,-0.208533266,22,17
86,Finsbury Park,51.56406609,-0.105068129,7,8
87,Stockwell,51.47131386,-0.121436641,24,8
88,Hammersmith (H&C Line),51.49327356,-0.223334507,4,8
89,Kensal Green,51.5300656,-0.222882378,16,6
90,Elephant & Castle,51.4953253,-0.099577259,14,28
91,Warwick Avenue,51.52269118,-0.182005998,11,15
92,Maida Vale,51.52922219,-0.184228557,10,6
93,Kilburn Park,51.53444139,-0.192420271,7,3
94,Ravenscourt Park,51.49365752,-0.234181724,5,8
95,Hammersmith (Dist&Picc Line),51.49148885,-0.22144689,4,5
96,Kilburn,51.54644842,-0.203115567,10,19
97,West Hampstead,51.54629707,-0.188568627,8,4
98,Swiss Cottage,51.54319998,-0.173237239,9,6
99,Finchley Road,51.54672589,-0.179489511,18,6
100,Archway,51.56403452,-0.13344404,12,3
101,Clapham South,51.45272059,-0.145610374,9,2
102,Clapham Common,51.46169503,-0.135588991,12,5
103,Clapham North,51.4652144,-0.127754372,17,6
104,Belsize Park,51.54982085,-0.163016956,6,12
105,Hampstead,51.55608598,-0.17692039,16,5
106,Mornington Crescent,51.53419787,-0.137143461,9,48
107,Chalk Farm,51.54335257,-0.151037017,21,11
108,Camden Town,51.53872412,-0.141016888,13,53
109,Kentish Town,51.54978865,-0.13914119,15,14
110,Tufnell Park,51.5563398,-0.136858377,8,4
111,Oval,51.48132384,-0.110799082,9,9
112,Kennington,51.48782707,-0.104357247,24,14
113,East Acton,51.51609001,-0.245569272,1,3
114,Wood Lane,51.50963208,-0.221994162,6,12
115,West Kensington,51.49027946,-0.203860054,16,50
116,Barons Court,51.48978737,-0.213088174,13,25
117,Fulham Broadway,51.48025536,-0.193168686,9,7
118,West Brompton,51.48676791,-0.193973832,29,30
119,Stamford Brook,51.49440814,-0.244408726,2,1
120,Stepney Green,51.52135166,-0.044974603,5,18
121,Whitechapel,51.51902202,-0.059154123,13,58
122,Bow Road,51.52639287,-0.02358427,7,8
123,St. John's Wood,51.53469852,-0.172545248,5,1
124,Canada Water,51.49740822,-0.048372238,9,8
125,Bermondsey,51.49718984,-0.062745893,6,8
126,Canary Wharf,51.50291749,-0.016134819,14,6
127,Chiswick Park,51.49415785,-0.266981606,7,4
128,Wimbledon Park,51.43353749,-0.19749098,6,2
129,Southfields,51.4445635,-0.205058529,12,4
130,Seven Sisters,51.58289546,-0.070894139,6,14
131,Blackhorse Road,51.58633801,-0.040174342,4,2
132,Tottenham Hale,51.58754655,-0.058547162,6,5
133,Brent Cross,51.57616797,-0.212185251,6,4
134,Golders Green,51.57178437,-0.192420671,5,0
135,South Ealing,51.50039136,-0.305919519,10,2
136,North Ealing,51.51697561,-0.287236576,3,2
137,Park Royal,51.52597425,-0.282378071,0,0
138,Hanger Lane,51.52968038,-0.291095909,4,1
139,North Acton,51.52310534,-0.258167978,4,6
140,Leyton,51.55609689,-0.00386474,4,8
141,Bromley-by-Bow,51.52424987,-0.009841042,7,3
142,Plaistow,51.53072137,0.018612643,0,3
143,Upton Park,51.53487026,0.036836325,2,7
144,Turnpike Lane,51.58975112,-0.101359413,3,3
145,Wood Green,51.5969712,-0.108246806,10,1
146,Bounds Green,51.60656487,-0.122731021,10,1
147,West Ham,51.52776913,0.00590508,0,2
148,Walthamstow Central,51.58261626,-0.019895332,12,4
149,Ealing Broadway,51.51449777,-0.299418497,8,1
150,Acton Town,51.50213702,-0.278432824,9,2
151,Ealing Common,51.50903565,-0.286555479,3,4
152,South Wimbledon,51.41446924,-0.191711278,3,3
153,Northfields,51.49914634,-0.311409865,7,1
154,Harlesden,51.53619355,-0.256997378,0,1
155,Kew Gardens,51.47648632,-0.283453589,11,3
156,Gunnersbury,51.49123204,-0.273547129,7,1
157,North Greenwich,51.50002099,0.005908784,3,2
158,Canning Town,51.51360991,0.009568884,14,8
159,Willesden Green,51.54886838,-0.221119357,3,17
160,Colliers Wood,51.41763979,-0.176460893,6,6
161,Tooting Broadway,51.42715702,-0.166791248,8,2
162,Tooting Bec,51.4353811,-0.15763366,7,0
163,Balham,51.44310998,-0.151090206,8,7
