,랜드마크,위도,경도,게스트_선호,게스트_불호
0,에펠탑,48.85175700000001,2.401347,37,31
1,루브르 박물관,48.85175700000001,2.401347,37,31
2,노트르담 대성당,48.85175700000001,2.401347,37,31
3,개선문,48.85175700000001,2.401347,37,31
4,가르니에 궁전,48.85175700000001,2.401347,37,31
5,사크레쾨르 대성당,48.85175700000001,2.401347,37,31
6,생트 샤펠,48.85175700000001,2.401347,37,31
7,알렉산드르 3세 다리,48.85175700000001,2.401347,37,31
8,마레 지구,48.85175700000001,2.401347,37,31
9,몽마르트,48.85175700000001,2.401347,37,31
10,팡테옹,48.85175700000001,2.401347,37,31
11,룩셈부르크 정원,48.85175700000001,2.401347,37,31
12,오르세 미술관,48.85175700000001,2.401347,37,31
13,샹젤리제 거리,48.85175700000001,2.401347,37,31
14,레 장발리드,48.85175700000001,2.401347,37,31
15,콩코르드 광장,48.85175700000001,2.401347,37,31
16,퐁피두 센터,48.85175700000001,2.401347,37,31
17,라 데팡스,48.85175700000001,2.401347,37,31
18,갤러리 라파예트,48.85175700000001,2.401347,37,31
19,그레뱅 박물관,48.85175700000001,2.401347,37,31
