,역이름,위도,경도,게스트_선호,게스트_불호
0,Porte de Vanves,48.827396,2.307701,8,8
1,École Militaire,48.85240049999999,2.3036513,28,28
2,Concorde,48.8706008,2.3228519,44,39
3,Faidherbe – Chaligny,48.8498005,2.3853325,72,53
4,Saint-Germain-des-Prés,48.8537981,2.3333285,56,80
5,Mairie des Lilas,48.8793577,2.4157987,1,0
6,Balard,48.8392565,2.2806102,22,36
7,Père Lachaise,48.8649156,2.3984761,43,15
8,Villiers,48.8839841,2.303989,24,37
9,Laumière,48.88446649999999,2.380009,33,20
10,Église de Pantin,48.8928863,2.4132802,0,0
11,Mabillon,48.8533377,2.3358151,79,93
12,La Motte-Picquet – Grenelle,48.8487494,2.2989572,56,61
13,Convention,48.8401754,2.2899544,36,39
14,Iéna,48.8643493,2.2934393,26,28
15,Saint-Lazare,48.877243,2.3253114,31,74
16,Château d'Eau,48.8724895,2.355908,152,187
17,Mairie de Saint-Ouen,48.9116671,2.3344492,0,0
18,Mirabeau,48.8470017,2.272568,23,24
19,Gabriel Péri,48.9162635,2.2949275,0,0
20,Mouton-Duvernet,48.831044,2.329656,44,37
21,Opéra,48.8719697,2.3316014,40,69
22,Maisons-Alfort – Stade,48.8091527,2.4344978,0,0
23,Rennes,48.8575475,2.3513765,131,105
24,La Fourche,48.8876564,2.3254883,73,92
25,Porte de Champerret,48.8857617,2.2921837,14,28
26,Gare du Nord,48.88051,2.35503,51,50
27,Châtelet,48.8575734,2.3470298,78,81
28,Parmentier,48.8648998,2.3748658,119,77
29,Porte des Lilas,48.8766673,2.4069024,18,10
30,Bonne Nouvelle,48.8674501,2.3496033,188,325
31,Saint-Mandé,48.84283199999999,2.4178639,0,1
32,Madeleine,48.87058709999999,2.3189432,24,23
33,Michel-Ange – Molitor,48.845124,2.2616761,25,15
34,Saint-Paul,48.8534683,2.3616912,104,72
35,Péreire,48.8845342,2.2967441,26,38
36,Liège,48.880196,2.3279665,58,80
37,Bourse,,,0,0
38,Boulogne – Jean Jaurès,48.8420292,2.2387702,0,0
39,Cluny – La Sorbonne,48.8434912,2.3518339,59,61
40,Nation,48.848713,2.3970382,35,20
41,Château de Vincennes,48.8443653,2.4364781,0,0
42,Exelmans,48.8424098,2.2618305,27,18
43,Avenue Émile Zola,48.8465793,2.2866627,52,41
44,Alexandre Dumas,48.8563342,2.3944206,44,41
45,Marx Dormoy,48.89050710000001,2.3600973,24,35
46,Pigalle,48.8821516,2.3372559,185,116
47,Marcadet – Poissonniers,48.891554,2.349594,84,96
48,Denfert-Rochereau,48.8342686,2.3323094,34,27
49,Trocadéro,48.8626979,2.2875026,39,35
50,Maubert – Mutualité,48.84979149999999,2.348733,65,73
51,Liberté,48.8730875,2.3615623,131,85
52,Gare de l'Est,48.8768146,2.3591978,73,74
53,Abbesses,48.8843091,2.3387397,193,119
54,Pointe du Lac,48.8575475,2.3513765,131,105
55,George V,48.8682365,2.301356,32,58
56,Rome,48.8575475,2.3513765,131,105
57,Saint-Georges,48.88036049999999,2.333799,95,71
58,Filles du Calvaire,48.8632905,2.3666653,140,134
59,Place d'Italie,48.83144919999999,2.3555149,33,39
60,Porte de Vincennes,48.847153,2.41018,11,12
61,Lourmel,48.8433872,2.2863331,43,36
62,Saint-Augustin,48.8762979,2.3188379,23,31
63,Montparnasse – Bienvenüe,48.84087,2.32003,40,48
64,Raspail,48.8346078,2.3324452,32,25
65,Boucicaut,48.8424155,2.2849585,38,42
66,Porte Maillot,48.878666,2.28358,31,15
67,Monceau,48.8804525,2.3091008,14,18
68,Grands Boulevards,48.8707814,2.3478302,150,236
69,Commerce,48.84461,2.29377,57,47
70,Porte Dauphine,48.871703,2.2757204,15,6
71,Avron,48.851307,2.398311,41,32
72,Hôtel de Ville,48.8565921,2.3522133,116,96
73,Pont de Sèvres,48.8284956,2.2270113,0,0
74,Ranelagh,48.855025,2.269624,22,23
75,Saint-Philippe du Roule,48.8732695,2.3107325,33,63
76,Jules Joffrin,48.8927876,2.3444896,107,79
77,Ourcq,48.886855,2.385749,33,20
78,Richelieu – Drouot,48.87200559999999,2.3393775,67,88
79,Saint-Sébastien – Froissart,48.8611339,2.3673656,140,120
80,Billancourt,48.8396952,2.2399123,0,0
81,Corentin Celton,48.827206,2.2783375,0,0
82,Rue des Boulets,48.850698,2.390382,68,40
83,Ledru-Rollin,48.8511317,2.3763292,69,83
84,Campo-Formio,48.8356243,2.3583955,19,34
85,Quatre Septembre,48.8695922,2.3358823,50,102
86,Europe,48.8766796,2.3189725,19,33
87,Alma – Marceau,48.8644455,2.300643,19,33
88,Place de Clichy,48.8835411,2.3268816,76,94
89,Solférino,48.8603207,2.3236246,22,8
90,Ternes,48.8799177,2.2930101,60,66
91,Assemblée Nationale,48.86190329999999,2.3186484,4,4
92,Garibaldi,48.8466543,2.3063603,35,41
93,Vaneau,48.8514045,2.3191824,20,20
94,Pont de Levallois – Bécon,48.8978536,2.2796561,0,0
95,Alésia,48.8279667,2.3263892,44,32
96,Volontaires,48.8415265,2.3082327,33,41
97,Porte de Saint-Ouen,48.898132,2.3268216,17,23
98,Victor Hugo,48.8548256,2.3661911,100,88
99,Colonel Fabien,48.8780109,2.3698692,58,57
100,Mairie d'Issy,48.8226174,2.2680243,0,0
101,Champs-Élysées – Clemenceau,48.8679405,2.3133575,11,23
